TEMPERATURE_BME,PRESSURE_BME ,HUMIDITY_BME
Fri Sep  2 12:35:03 2022,24.8,991.726,56.2 %
Fri Sep  2 12:35:07 2022,24.8,991.740,56.0 %
Fri Sep  2 12:35:10 2022,24.9,991.747,55.7 %
Fri Sep  2 12:35:13 2022,25.0,991.749,55.4 %
Fri Sep  2 12:35:17 2022,25.0,991.743,55.2 %
Fri Sep  2 12:35:20 2022,25.1,991.752,55.0 %
Fri Sep  2 12:35:23 2022,25.1,991.758,54.8 %
Fri Sep  2 12:35:27 2022,25.2,991.755,54.7 %
Fri Sep  2 12:35:30 2022,25.2,991.749,54.6 %
Fri Sep  2 12:35:34 2022,25.2,991.757,54.5 %
Fri Sep  2 12:35:37 2022,25.2,991.761,54.4 %
Fri Sep  2 12:35:40 2022,25.3,991.758,54.4 %
Fri Sep  2 12:35:44 2022,25.3,991.749,54.3 %
Fri Sep  2 12:35:47 2022,25.3,991.730,54.3 %
Fri Sep  2 12:35:51 2022,25.3,991.710,54.2 %
Fri Sep  2 12:35:54 2022,25.3,991.702,54.2 %
Fri Sep  2 12:35:57 2022,25.3,991.690,54.2 %
Fri Sep  2 12:36:01 2022,25.3,991.677,54.1 %
Fri Sep  2 12:36:04 2022,25.3,991.682,54.1 %
Fri Sep  2 12:36:08 2022,25.3,991.686,54.1 %
Fri Sep  2 12:36:11 2022,25.4,991.672,54.2 %
Fri Sep  2 12:36:14 2022,25.4,991.680,54.2 %
Fri Sep  2 12:36:18 2022,25.4,991.689,54.2 %
Fri Sep  2 12:36:21 2022,25.4,991.678,54.2 %
Fri Sep  2 12:36:25 2022,25.4,991.686,54.2 %
Fri Sep  2 12:36:28 2022,25.4,991.680,54.1 %
Fri Sep  2 12:36:31 2022,25.4,991.678,54.1 %
Fri Sep  2 12:36:35 2022,25.4,991.678,54.1 %
Fri Sep  2 12:36:38 2022,25.4,991.695,54.1 %
Fri Sep  2 12:36:42 2022,25.4,991.690,54.1 %
Fri Sep  2 12:36:45 2022,25.4,991.697,54.0 %
Fri Sep  2 12:36:48 2022,25.4,991.686,54.0 %
Fri Sep  2 12:36:52 2022,25.4,991.678,54.0 %
Fri Sep  2 12:36:55 2022,25.4,991.671,54.0 %
Fri Sep  2 12:36:58 2022,25.4,991.680,54.0 %
Fri Sep  2 12:37:02 2022,25.4,991.697,53.9 %
Fri Sep  2 12:37:05 2022,25.4,991.700,53.9 %
Fri Sep  2 12:37:09 2022,25.4,991.694,53.9 %
Fri Sep  2 12:37:12 2022,25.4,991.669,53.9 %
Fri Sep  2 12:37:15 2022,25.4,991.591,53.8 %
Fri Sep  2 12:37:19 2022,25.4,991.553,53.8 %
Fri Sep  2 12:37:22 2022,25.4,991.531,53.8 %
Fri Sep  2 12:37:26 2022,25.4,991.537,53.9 %
Fri Sep  2 12:37:29 2022,25.4,991.527,53.9 %
Fri Sep  2 12:37:32 2022,25.4,991.525,54.0 %
Fri Sep  2 12:37:36 2022,25.4,991.544,54.1 %
Fri Sep  2 12:37:39 2022,25.4,991.652,54.1 %
Fri Sep  2 12:37:43 2022,25.4,991.704,54.1 %
Fri Sep  2 12:37:46 2022,25.4,991.743,53.9 %
Fri Sep  2 12:37:49 2022,25.4,991.763,53.8 %
Fri Sep  2 12:37:53 2022,25.4,991.776,53.7 %
Fri Sep  2 12:37:56 2022,25.4,991.780,53.7 %
Fri Sep  2 12:38:00 2022,25.4,991.789,53.6 %
Fri Sep  2 12:38:03 2022,25.4,991.800,53.6 %
Fri Sep  2 12:38:06 2022,25.4,991.799,53.5 %
Fri Sep  2 12:38:10 2022,25.4,991.798,53.5 %
Fri Sep  2 12:38:13 2022,25.4,991.791,53.5 %
Fri Sep  2 12:38:17 2022,25.4,991.799,53.6 %
Fri Sep  2 12:38:20 2022,25.4,991.792,53.6 %
Fri Sep  2 12:38:23 2022,25.4,991.799,53.7 %
Fri Sep  2 12:38:27 2022,25.4,991.810,53.7 %
Fri Sep  2 12:38:30 2022,25.4,991.795,53.8 %
Fri Sep  2 12:38:33 2022,25.4,991.754,53.8 %
Fri Sep  2 12:38:37 2022,25.4,991.744,53.9 %
Fri Sep  2 12:38:40 2022,25.4,991.729,53.9 %
Fri Sep  2 12:38:44 2022,25.4,991.727,54.0 %
Fri Sep  2 12:38:47 2022,25.4,991.729,54.0 %
Fri Sep  2 12:38:50 2022,25.5,991.738,54.0 %
Fri Sep  2 12:38:54 2022,25.5,991.730,53.9 %
Fri Sep  2 12:38:57 2022,25.5,991.734,53.9 %
Fri Sep  2 12:39:01 2022,25.5,991.738,53.8 %
Fri Sep  2 12:39:04 2022,25.5,991.732,53.8 %
Fri Sep  2 12:39:07 2022,25.5,991.720,53.7 %
Fri Sep  2 12:39:11 2022,25.5,991.724,53.6 %
Fri Sep  2 12:39:14 2022,25.5,991.735,53.6 %
Fri Sep  2 12:39:18 2022,25.5,991.735,53.5 %
Fri Sep  2 12:39:21 2022,25.5,991.731,53.4 %
Fri Sep  2 12:39:24 2022,25.5,991.724,53.4 %
Fri Sep  2 12:39:28 2022,25.5,991.726,53.4 %
Fri Sep  2 12:39:31 2022,25.5,991.719,53.3 %
Fri Sep  2 12:39:35 2022,25.5,991.769,53.2 %
Fri Sep  2 12:39:38 2022,25.5,991.794,53.2 %
Fri Sep  2 12:39:41 2022,25.5,991.805,53.1 %
